,game_id,away_team_id,home_team_id,away_team_name,home_team_name,away_score,home_score
1203,2022021206,7,4,Buffalo Sabres,Philadelphia Flyers,6,3
1204,2022021207,12,8,Carolina Hurricanes,Montréal Canadiens,3,0
1205,2022021208,13,29,Florida Panthers,Columbus Blue Jackets,7,0
1206,2022021209,2,14,New York Islanders,Tampa Bay Lightning,0,5
1207,2022021210,10,9,Toronto Maple Leafs,Ottawa Senators,3,0
1208,2022021211,1,16,New Jersey Devils,Chicago Blackhawks,6,3
1209,2022021212,25,21,Dallas Stars,Colorado Avalanche,2,5
1210,2022021213,24,22,Anaheim Ducks,Edmonton Oilers,0,6
1211,2022021214,26,55,Los Angeles Kings,Seattle Kraken,3,1
1212,2022021215,30,54,Minnesota Wild,Vegas Golden Knights,1,4
1213,2022021216,28,53,San Jose Sharks,Arizona Coyotes,7,2
1214,2022021217,3,15,New York Rangers,Washington Capitals,5,2
1215,2022021218,6,19,Boston Bruins,St. Louis Blues,4,3
1216,2022021219,2,12,New York Islanders,Carolina Hurricanes,1,2
1217,2022021220,9,29,Ottawa Senators,Columbus Blue Jackets,3,4
1218,2022021221,4,5,Philadelphia Flyers,Pittsburgh Penguins,2,4
1219,2022021222,17,10,Detroit Red Wings,Toronto Maple Leafs,5,2
1220,2022021223,1,52,New Jersey Devils,Winnipeg Jets,1,6
1221,2022021224,24,20,Anaheim Ducks,Calgary Flames,4,5
1222,2022021225,26,23,Los Angeles Kings,Vancouver Canucks,4,1
1223,2022021226,54,30,Vegas Golden Knights,Minnesota Wild,4,3
1224,2022021227,18,25,Nashville Predators,Dallas Stars,1,5
1225,2022021228,53,55,Arizona Coyotes,Seattle Kraken,1,8
1226,2022021229,7,13,Buffalo Sabres,Florida Panthers,1,2
1227,2022021230,29,10,Columbus Blue Jackets,Toronto Maple Leafs,2,4
1228,2022021231,17,8,Detroit Red Wings,Montréal Canadiens,5,0
1229,2022021232,9,12,Ottawa Senators,Carolina Hurricanes,2,3
1230,2022021233,5,1,Pittsburgh Penguins,New Jersey Devils,1,5
1231,2022021234,4,19,Philadelphia Flyers,St. Louis Blues,2,4
1232,2022021235,54,18,Vegas Golden Knights,Nashville Predators,2,3
1233,2022021236,16,20,Chicago Blackhawks,Calgary Flames,4,3
1234,2022021238,55,23,Seattle Kraken,Vancouver Canucks,5,2
1235,2022021237,22,26,Edmonton Oilers,Los Angeles Kings,3,1
1236,2022021239,21,28,Colorado Avalanche,San Jose Sharks,4,3
1237,2022021240,20,52,Calgary Flames,Winnipeg Jets,3,1
1238,2022021241,14,3,Tampa Bay Lightning,New York Rangers,3,6
1239,2022021242,22,24,Edmonton Oilers,Anaheim Ducks,3,1
1240,2022021243,29,1,Columbus Blue Jackets,New Jersey Devils,1,8
